TxHash,WalletAddress,AmountBTC,Status,Timestamp,NetworkFee,BlockNumber
TX-F6OD469A,Wallet_ICVEY8,3.7678,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00322,801737
TX-NRMUPHPV,Wallet_KJQU9Q,1.1962,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00383,849471
TX-BG0CKYBC,Wallet_FRGXO0,3.0899,PENDING,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00429,822659
TX-0SYYDYJE,Wallet_M3AHUY,0.4191,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00083,824627
TX-NA6FIS98,Wallet_GADY9C,3.3694,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00196,801246
TX-NAWA17K5,Wallet_PJR0QJ,0.7405,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00163,814926
TX-GJQU94F8,Wallet_76MYRP,3.4564,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00251,839127
TX-R86D4CL0,Wallet_F89ZOU,4.9434,PENDING,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00381,805735
TX-TY54CZA6,Wallet_OZ80WS,2.9391,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00346,819964
TX-EBFWDDHD,Wallet_CB49VX,0.2122,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00191,826829
TX-OO6QN8S2,Wallet_JLEX09,1.8217,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00317,835297
TX-O3G1G3MT,Wallet_FQUFX2,0.6556,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.0007,837816
TX-GKQ4IM3Y,Wallet_KQ69OU,4.6265,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00341,829822
TX-Q6TNWXBN,Wallet_8VA791,1.828,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00435,848259
TX-EPQG48LV,Wallet_UZZL87,4.5328,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00442,815504
TX-HZKIQ0QG,Wallet_SY84MM,0.3205,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00314,820802
TX-04Q5YNSP,Wallet_0DDICS,4.1021,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00499,819167
TX-AYHZWMKJ,Wallet_9CDESW,0.8706,CONFIRMED,MATCHED_VAL-MATCHED_VAL-MATCHED_VAL MATCHED_VAL:MATCHED_VAL:MATCHED_VAL,0.00128,802944
